original_concept_name_gm	diff_1_cc	diff_2_cc	concept_id	concept_name	diff_3_cc	diff_4_cn_who
Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M63.24	M63.2	2005697	Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten	(null)	(null)
Verletzung: Sonstige intraabdominale Organe	S36.88	S36.8	2008722	Verletzung sonstiger intraabdominaler Organe	(null)	(null)
Sonstige sekundäre Knochennekrose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M87.31	M87.3	2005862	Sonstige sekundäre Knochennekrose	(null)	(null)
Scheibenmeniskus (angeboren): Außenmeniskus	M23.16	M23.1	2005494	Scheibenmeniskus (angeboren)	(null)	(null)
Fibromatose, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M72.93	M72.9	2005753	Fibromatose, nicht näher bezeichnet	(null)	(null)
Sonstige näher bezeichnete Spondylopathien: Lumbosakralbereich	M48.87	M48.8	2005628	Sonstige näher bezeichnete Spondylopathien	(null)	(null)
Osteodystrophia deformans sonstiger Knochen: Unterarm [Radius, Ulna, Handgelenk]	M88.83	M88.8	2005867	Osteodystrophia deformans sonstiger Knochen	(null)	(null)
Neuralgie und Neuritis, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation	M79.29	M79.2	2005790	Neuralgie und Neuritis, nicht näher bezeichnet	(null)	(null)
Zerebrale transitorische Ischämie, nicht näher bezeichnet: Komplette Rückbildung innerhalb von 1 bis 24 Stunden	G45.92	G45.9	2003022	Zerebrale transitorische Ischämie, nicht näher bezeichnet	(null)	(null)
Fibröse Dysplasie (monostotisch): Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M85.08	M85.0	2005839	Fibröse Dysplasie (monostotisch)	(null)	(null)
Neurodystrophie [Algodystrophie]: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M89.04	M89.0	2005870	Neurodystrophie [Algodystrophie]	(null)	(null)
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Unterarm [Radius, Ulna, Handgelenk]	M79.83	M79.8	2005796	Sonstige näher bezeichnete Krankheiten des Weichteilgewebes	(null)	(null)
Ganglion: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M67.45	M67.4	2005720	Ganglion	(null)	(null)
Sonstige reaktive Arthritiden: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M02.84	M02.8	2005347	Sonstige reaktive Arthritiden	(null)	(null)
Schlottergelenk: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M25.28	M25.2	2005516	Schlottergelenk	(null)	(null)
Sonstige Spondylose mit Myelopathie: Mehrere Lokalisationen der Wirbelsäule	M47.10	M47.1	2005617	Sonstige Spondylose mit Myelopathie	(null)	(null)
Varusdeformität, anderenorts nicht klassifiziert: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M21.11	M21.1	2005475	Varusdeformität, anderenorts nicht klassifiziert	(null)	(null)
Spontanruptur von Beugesehnen: Oberarm [Humerus, Ellenbogengelenk]	M66.32	M66.3	2005712	Spontanruptur von Beugesehnen	(null)	(null)
Neuropathische Spondylopathie: Zervikalbereich	M49.42	M49.4	2005635	Neuropathische Spondylopathie	(null)	(null)
Frakturen mit Beteiligung mehrerer Regionen beider unterer Extremitäten: geschlossen oder o.n.A.	T02.50	T02.5	2009162	Frakturen mit Beteiligung mehrerer Regionen beider unterer Extremitäten	(null)	(null)
Betreuung der Mutter bei sonstiger Zervixinsuffizienz	O34.38	O34.3	2006661	Betreuung der Mutter bei Zervixinsuffizienz	(null)	(null)
Senile Osteomalazie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M83.18	M83.1	2005823	Senile Osteomalazie	(null)	(null)
Solitäre Knochenzyste: Oberarm [Humerus, Ellenbogengelenk]	M85.42	M85.4	2005843	Solitäre Knochenzyste	(null)	(null)
Embolie und Thrombose der Milzvene	I82.80	I82.8	2004094	Embolie und Thrombose sonstiger näher bezeichneter Venen	(null)	(null)
Stadium 1 der chronischen Mundschleimhaut-Graft-versus-Host-Krankheit	K93.41	K93.4	(null)	(null)	K93	Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten
Stadium 2 der chronischen Augen-Graft-versus-Host-Krankheit	H58.22	H58.2	(null)	(null)	H58	Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten
Fraktur eines sonstigen Mittelhandknochens: Teil nicht näher bezeichnet	S62.30	S62.3	2008890	Fraktur eines sonstigen Mittelhandknochens	(null)	(null)
Myositis bei anderenorts klassifizierten bakteriellen Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M63.01	M63.0	2005695	Myositis bei anderenorts klassifizierten bakteriellen Krankheiten	(null)	(null)
Osteomalazie im Erwachsenenalter durch Malabsorption: Unterschenkel [Fibula, Tibia, Kniegelenk]	M83.26	M83.2	2005824	Osteomalazie im Erwachsenenalter durch Malabsorption	(null)	(null)
Anderenorts klassifizierte, im Krankenhaus erworbene Pneumonie bei Patienten von 18 Jahren und älter	U69.00	U69.0	(null)	(null)	U69	(null)
Arthritis und Polyarthritis durch sonstige näher bezeichnete bakterielle Erreger: Oberarm [Humerus, Ellenbogengelenk]	M00.82	M00.8	2005331	Arthritis und Polyarthritis durch sonstige näher bezeichnete bakterielle Erreger	(null)	(null)
Weichteilschaden III. Grades bei offener Fraktur oder Luxation des Thorax	S21.89	S21.8	2008601	Offene Wunde sonstiger Teile des Thorax	(null)	(null)
Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 >=70 % des Sollwertes	J44.13	J44.1	2004305	Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet	(null)	(null)
Oberflächliche Verletzung der Lippe und der Mundhöhle: Art der Verletzung nicht näher bezeichnet	S00.50	S00.5	2008452	Oberflächliche Verletzung der Lippe und der Mundhöhle	(null)	(null)
Sonstige habituelle Wirbelsubluxation: Zervikalbereich	M43.52	M43.5	2005601	Sonstige habituelle Wirbelsubluxation	(null)	(null)
Verbrennung 1. Grades des Rumpfes: Thoraxwand ausgenommen Brustdrüse und -warze	T21.12	T21.1	2009289	Verbrennung 1. Grades des Rumpfes	(null)	(null)
Zustand nach sonstiger Organ- oder Gewebetransplantation	Z94.88	Z94.8	2012136	Zustand nach sonstiger Organ- oder Gewebetransplantation	(null)	(null)
Myelodysplastische und myeloproliferative Krankheit, nicht klassifizierbar: In kompletter Remission	C94.61	C94.6	2001439	Myelodysplastische und myeloproliferative Krankheit, nicht klassifizierbar	(null)	(null)
Sonstige Krankheiten des Weichteilgewebes bei sonstigen anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation	M73.89	M73.8	2005757	Sonstige Krankheiten des Weichteilgewebes bei sonstigen anderenorts klassifizierten Krankheiten	(null)	(null)
Idiopathische Skoliose beim Kind: Lumbosakralbereich	M41.07	M41.0	2005583	Idiopathische Skoliose beim Kind	(null)	(null)
Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Als entgleist bezeichnet	E14.31	E14.3	2002079	Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen	(null)	(null)
Juvenile Arthritis, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M08.97	M08.9	2005384	Juvenile Arthritis, nicht näher bezeichnet	(null)	(null)
Maxillärer Abszess mit Angabe einer Ausbreitung nach retromaxillär oder in die Fossa canina	K10.21	K10.2	2004510	Entzündliche Zustände der Kiefer	(null)	(null)
Nekrotisierende Fasziitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M72.64	M72.6	2005751	Nekrotisierende Fasziitis	(null)	(null)
Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M09.85	M09.8	2005389	Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten	(null)	(null)
Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M83.34	M83.3	2005825	Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung	(null)	(null)
Arthritis nach Impfung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M02.24	M02.2	2005345	Arthritis nach Impfung	(null)	(null)
Sonstige Osteomalazie im Erwachsenenalter: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M83.81	M83.8	2005828	Sonstige Osteomalazie im Erwachsenenalter	(null)	(null)
Sonstige akute Osteomyelitis: Unterschenkel [Fibula, Tibia, Kniegelenk]	M86.16	M86.1	2005850	Sonstige akute Osteomyelitis	(null)	(null)
Offene Wunde: Ösophagus, Pars cervicalis	S11.22	S11.2	2008543	Offene Wunde mit Beteiligung des Rachens und des Ösophagus, Pars cervicalis	(null)	(null)
Zentrales Schlafapnoe-Syndrom	G47.30	G47.3	2003037	Schlafapnoe	(null)	(null)
Gallenblasenstein mit akuter Cholezystitis: Mit Gallenwegsobstruktion	K80.01	K80.0	2004855	Gallenblasenstein mit akuter Cholezystitis	(null)	(null)
Chronische myeloische Leukämie [CML], BCR/ABL-positiv: In kompletter Remission	C92.11	C92.1	2001419	Chronische myeloische Leukämie [CML], BCR/ABL-positiv	(null)	(null)
Traumatische Spondylopathie: Thorakolumbalbereich	M48.35	M48.3	2005625	Traumatische Spondylopathie	(null)	(null)
Somatoforme autonome Funktionsstörung: Mehrere Organe und Systeme	F45.37	F45.3	2002662	Somatoforme autonome Funktionsstörung	(null)	(null)
Sonstige Lordose: Thorakalbereich	M40.44	M40.4	2005580	Sonstige Lordose	(null)	(null)
Synovitis und Tenosynovitis bei anderenorts klassifizierten bakteriellen Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M68.04	M68.0	2005724	Synovitis und Tenosynovitis bei anderenorts klassifizierten bakteriellen Krankheiten	(null)	(null)
Sonstige oberflächliche Verletzungen der vorderen Thoraxwand: Blasenbildung (nichtthermisch)	S20.32	S20.3	2008592	Sonstige oberflächliche Verletzungen der vorderen Thoraxwand	(null)	(null)
Fraktur eines sonstigen Mittelhandknochens: Schaft	S62.32	S62.3	2008890	Fraktur eines sonstigen Mittelhandknochens	(null)	(null)
Sonstige sekundäre Kyphose: Okzipito-Atlanto-Axialbereich	M40.11	M40.1	2005577	Sonstige sekundäre Kyphose	(null)	(null)
Idiopathische Osteoporose: Mehrere Lokalisationen	M81.50	M81.5	2005813	Idiopathische Osteoporose	(null)	(null)
Sonstige Myositis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M60.88	M60.8	2005674	Sonstige Myositis	(null)	(null)
Sonstiges akutes Nierenversagen: Stadium 1	N17.81	N17.8	2006087	Sonstiges akutes Nierenversagen	(null)	(null)
Sonstige infektiöse Bursitis: Unterschenkel [Fibula, Tibia, Kniegelenk]	M71.16	M71.1	2005739	Sonstige infektiöse Bursitis	(null)	(null)
Arthritis mutilans: Nicht näher bezeichnete Lokalisation	M07.19	M07.1	2005371	Arthritis mutilans	(null)	(null)
Spontanruptur von Beugesehnen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M66.35	M66.3	2005712	Spontanruptur von Beugesehnen	(null)	(null)
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M79.84	M79.8	2005796	Sonstige näher bezeichnete Krankheiten des Weichteilgewebes	(null)	(null)
Oberflächliche Verletzung der oberen Extremität, Höhe nicht näher bezeichnet: Oberflächlicher Fremdkörper (Splitter)	T11.04	T11.0	2009216	Oberflächliche Verletzung der oberen Extremität, Höhe nicht näher bezeichnet	(null)	(null)
Diabetes mellitus, Typ 1: Mit Koma: Als entgleist bezeichnet	E10.01	E10.0	2002032	Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Mit Koma	(null)	(null)
Akute hämatogene Osteomyelitis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M86.07	M86.0	2005849	Akute hämatogene Osteomyelitis	(null)	(null)
Myositis ossificans progressiva: Mehrere Lokalisationen	M61.10	M61.1	2005678	Myositis ossificans progressiva	(null)	(null)
Reiter-Krankheit: Unterschenkel [Fibula, Tibia, Kniegelenk]	M02.36	M02.3	2005346	Reiter-Krankheit	(null)	(null)
Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet: Lumbosakralbereich	M53.97	M53.9	2005659	Krankheit der Wirbelsäule und des Rückens, nicht näher bezeichnet	(null)	(null)
Arthritis bei Crohn-Krankheit [Enteritis regionalis]: Mehrere Lokalisationen	M07.40	M07.4	2005374	Arthritis bei Crohn-Krankheit [Enteritis regionalis]	(null)	(null)
Angeborene Fehlbildung der präzerebralen Gefäße, nicht näher bezeichnet	Q28.19	Q28.1	2007539	Sonstige Fehlbildungen der präzerebralen Gefäße	(null)	(null)
Arthritis bei Lyme-Krankheit: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M01.28	M01.2	2005336	Arthritis bei Lyme-Krankheit	(null)	(null)
Gelenksteife, anderenorts nicht klassifiziert: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M25.64	M25.6	2005520	Gelenksteife, anderenorts nicht klassifiziert	(null)	(null)
Spondylopathie, nicht näher bezeichnet: Zervikothorakalbereich	M48.93	M48.9	2005629	Spondylopathie, nicht näher bezeichnet	(null)	(null)
Juvenile Arthritis bei Colitis ulcerosa: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M09.28	M09.2	2005388	Juvenile Arthritis bei Colitis ulcerosa	(null)	(null)
Dekubitus 1. Grades: Sonstige und nicht näher bezeichnete Lokalisationen	L89.09	L89.0	2005268	Dekubitus 1. Grades und Druckzone	(null)	(null)
Skoliose, nicht näher bezeichnet: Okzipito-Atlanto-Axialbereich	M41.91	M41.9	2005590	Skoliose, nicht näher bezeichnet	(null)	(null)
Arthritis mutilans: Unterarm [Radius, Ulna, Handgelenk]	M07.13	M07.1	2005371	Arthritis mutilans	(null)	(null)
Bursitis bei chronischer Polyarthritis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M06.27	M06.2	2005364	Bursitis bei chronischer Polyarthritis	(null)	(null)
Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens: Thorakolumbalbereich	M43.85	M43.8	2005603	Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens	(null)	(null)
Sonstige infektiöse (Teno-) Synovitis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M65.18	M65.1	2012235	Sonstige infektiöse (Teno-)Synovitis	(null)	(null)
Tuberkulöse Arthritis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M01.14	M01.1	2005335	Tuberkulöse Arthritis	(null)	(null)
Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M63.21	M63.2	2005697	Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten	(null)	(null)
Deformität der Wirbelsäule und des Rückens, nicht näher bezeichnet: Thorakolumbalbereich	M43.95	M43.9	2005604	Deformität der Wirbelsäule und des Rückens, nicht näher bezeichnet	(null)	(null)
Osteoporose nach Ovarektomie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M81.14	M81.1	2005809	Osteoporose nach Ovarektomie	(null)	(null)
Verbrennung 1. Grades der Schulter und des Armes, ausgenommen Handgelenk und Hand: Unterarm und Ellenbogen	T22.11	T22.1	2009298	Verbrennung 1. Grades der Schulter und des Armes, ausgenommen Handgelenk und Hand	(null)	(null)
Transiente globale Amnesie [amnestische Episode]: Komplette Rückbildung innerhalb von 1 bis 24 Stunden	G45.42	G45.4	2003020	Transiente globale Amnesie [amnestische Episode]	(null)	(null)
Stadium 2 der akuten Verdauungstrakt-Graft-versus-Host-Krankheit	K93.22	K93.2	(null)	(null)	K93	Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten
Sonstige oberflächliche Verletzungen des Augenlides und der Periokularregion: Schürfwunde	S00.21	S00.2	2008449	Sonstige oberflächliche Verletzungen des Augenlides und der Periokularregion	(null)	(null)
Stillstand des Epiphysenwachstums: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M89.15	M89.1	2005871	Stillstand des Epiphysenwachstums	(null)	(null)
Dissektion der Aorta thoracica, rupturiert	I71.05	I71.0	2004028	Dissektion der Aorta [jeder Abschnitt]	(null)	(null)
Sonstige Osteoporose: Mehrere Lokalisationen	M81.80	M81.8	2005815	Sonstige Osteoporose	(null)	(null)
Sonstige Schleimbeutelzyste: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M71.38	M71.3	2005741	Sonstige Schleimbeutelzyste	(null)	(null)
Arteria-carotis-interna-Syndrom (halbseitig): Komplette Rückbildung innerhalb von 1 bis 24 Stunden	G45.12	G45.1	2003017	Arteria-carotis-interna-Syndrom (halbseitig)	(null)	(null)
Sonstige infektiöse Bursitis: Mehrere Lokalisationen	M71.10	M71.1	2005739	Sonstige infektiöse Bursitis	(null)	(null)
Knochennekrose durch Arzneimittel: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M87.18	M87.1	2005860	Knochennekrose durch Arzneimittel	(null)	(null)
Idiopathische Skoliose beim Kind: Mehrere Lokalisationen der Wirbelsäule	M41.00	M41.0	2005583	Idiopathische Skoliose beim Kind	(null)	(null)
Stressfraktur, anderenorts nicht klassifiziert: Unterschenkel [Fibula, Tibia, Kniegelenk]	M84.36	M84.3	2005834	Stressfraktur, anderenorts nicht klassifiziert	(null)	(null)
Akute Erythroleukämie: Ohne Angabe einer kompletten Remission	C94.00	C94.0	2001435	Akute Erythroleukämie	(null)	(null)
Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 <35 % des Sollwertes	J44.80	J44.8	2004306	Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit	(null)	(null)
Stadium 4 der akuten Verdauungstrakt-Graft-versus-Host-Krankheit	K93.24	K93.2	(null)	(null)	K93	Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten
Familiäre Chondrokalzinose: Unterarm [Radius, Ulna, Handgelenk]	M11.13	M11.1	2005399	Familiäre Chondrokalzinose	(null)	(null)
Weibliche Genitalverstümmelung in der Eigenanamnese, Typ 4	Z91.74	Z91.7	2012368	Weibliche Genitalverstümmelung in der Eigenanamnese	(null)	(null)
Osteodystrophia deformans bei Neubildungen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M90.67	M90.6	2005886	Osteodystrophia deformans bei Neubildungen	(null)	(null)
Arthritis nach intestinalem Bypass: Oberarm [Humerus, Ellenbogengelenk]	M02.02	M02.0	2005343	Arthritis nach intestinalem Bypass	(null)	(null)
Rheumatismus, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M79.07	M79.0	2005788	Rheumatismus, nicht näher bezeichnet	(null)	(null)
Spondylopathie, nicht näher bezeichnet: Lumbalbereich	M48.96	M48.9	2005629	Spondylopathie, nicht näher bezeichnet	(null)	(null)
Traumatische Arthropathie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M12.58	M12.5	2005409	Traumatische Arthropathie	(null)	(null)
Postenteritische Arthritis: Unterarm [Radius, Ulna, Handgelenk]	M02.13	M02.1	2005344	Postenteritische Arthritis	(null)	(null)
Familiäre Chondrokalzinose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M11.18	M11.1	2005399	Familiäre Chondrokalzinose	(null)	(null)
Frakturen mit Beteiligung mehrerer Regionen der oberen Extremität(en) und mehrerer Regionen der unteren Extremität(en): offen	T02.61	T02.6	2009163	Frakturen mit Beteiligung mehrerer Regionen der oberen Extremität(en) und mehrerer Regionen der unteren Extremität(en)	(null)	(null)
Funktionale Höhe einer Verletzung des zervikalen Rückenmarkes	S14.7	S14	2008562	Verletzung der Nerven und des Rückenmarkes in Halshöhe	(null)	(null)
Sonstige Synovitis und Tenosynovitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M65.84	M65.8	2005706	Sonstige Synovitis und Tenosynovitis	(null)	(null)
Tuberkulose der Wirbelsäule: Sakral- und Sakrokokzygealbereich	M49.08	M49.0	2005631	Tuberkulose der Wirbelsäule	(null)	(null)
Inkomplettes traumatisches Cauda- (equina-) Syndrom	S34.31	S34.3	2008698	Verletzung der Cauda equina	(null)	(null)
Aluminiumosteopathie: Oberarm [Humerus, Ellenbogengelenk]	M83.42	M83.4	2005826	Aluminiumosteopathie	(null)	(null)
Gelenkkontraktur: Unterschenkel [Fibula, Tibia, Kniegelenk]	M24.56	M24.5	2005508	Gelenkkontraktur	(null)	(null)
Hämangiom: Nicht näher bezeichnete Lokalisation	D18.00	D18.0	2001591	Hämangiom, jede Lokalisation	(null)	(null)
Sonstige näher bezeichnete Knorpelkrankheiten: Mehrere Lokalisationen	M94.80	M94.8	2005918	Sonstige näher bezeichnete Knorpelkrankheiten	(null)	(null)
Arthritis bei Lyme-Krankheit: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M01.25	M01.2	2005336	Arthritis bei Lyme-Krankheit	(null)	(null)
Sonstige Binnenschädigungen des Kniegelenkes: Außenband [Lig. collaterale fibulare]	M23.84	M23.8	2005500	Sonstige Binnenschädigungen des Kniegelenkes	(null)	(null)
Segmentale und somatische Funktionsstörungen: Abdomen und sonstige Lokalisationen	M99.09	M99.0	2005940	Segmentale und somatische Funktionsstörungen	(null)	(null)
Rhagade der Brustwarze im Zusammenhang mit der Gestation: Mit Angabe von Schwierigkeiten beim Anlegen	O92.11	O92.1	2006918	Rhagade der Brustwarze im Zusammenhang mit der Gestation	(null)	(null)
Sonstige sekundäre Gicht: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M10.45	M10.4	2005395	Sonstige sekundäre Gicht	(null)	(null)
Knochennekrose bei Caissonkrankheit: Mehrere Lokalisationen	M90.30	M90.3	2005883	Knochennekrose bei Caissonkrankheit	(null)	(null)
Knochennekrose durch Hämoglobinopathie: Nicht näher bezeichnete Lokalisation	M90.49	M90.4	2005884	Knochennekrose durch Hämoglobinopathie	(null)	(null)
Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet	E10.75	E10.7	2012202	Diabetes mellitus, Typ 1: Mit multiplen Komplikationen	(null)	(null)
Atypische chronische myeloische Leukämie, BCR/ABL-negativ: Ohne Angabe einer kompletten Remission	C92.20	C92.2	2001420	Atypische chronische myeloische Leukämie, BCR/ABL-negativ	(null)	(null)
Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M83.93	M83.9	2005829	Osteomalazie im Erwachsenenalter, nicht näher bezeichnet	(null)	(null)
Divertikulitis des Dünndarmes mit Perforation und Abszess, ohne Angabe einer Blutung	K57.02	K57.0	2004720	Divertikulose des Dünndarmes mit Perforation und Abszess	(null)	(null)
Sonstige Fibromatosen: Unterarm [Radius, Ulna, Handgelenk]	M72.83	M72.8	2005752	Sonstige Fibromatosen	(null)	(null)
Sehnenscheidenabszess: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M65.04	M65.0	2005701	Sehnenscheidenabszess	(null)	(null)
Flexionsdeformität: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M21.24	M21.2	2005476	Flexionsdeformität	(null)	(null)
Zentrale Halsmarkverletzung (inkomplette Querschnittverletzung)	S14.12	S14.1	2008564	Sonstige und nicht näher bezeichnete Verletzungen des zervikalen Rückenmarkes	(null)	(null)
Primäres Parkinson-Syndrom mit mäßiger bis schwerer Beeinträchtigung: Ohne Wirkungsfluktuation	G20.10	G20.1	(null)	(null)	G20	Primäres Parkinson-Syndrom
Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 >= 70 % des Sollwertes	J44.83	J44.8	2004306	Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit	(null)	(null)
Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege: FEV1 <35 % des Sollwertes	J44.00	J44.0	2004304	Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege	(null)	(null)
Chronische Osteomyelitis mit Fistel: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M86.44	M86.4	2005853	Chronische Osteomyelitis mit Fistel	(null)	(null)
Dissoziierte Intelligenz: Ohne Angabe einer Verhaltensstörung	F74.9	F74	(null)	(null)	(null)	(null)
Diabetes mellitus, Typ 1: Mit Augenkomplikationen: Nicht als entgleist bezeichnet	E10.30	E10.3	2002035	Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Mit Augenkomplikationen	(null)	(null)
Postenteritische Arthritis: Oberarm [Humerus, Ellenbogengelenk]	M02.12	M02.1	2005344	Postenteritische Arthritis	(null)	(null)
Kalzifikation und Ossifikation von Muskeln bei Lähmungen: Mehrere Lokalisationen	M61.20	M61.2	2005679	Kalzifikation und Ossifikation von Muskeln bei Lähmungen	(null)	(null)
Verätzungen von 90 % oder mehr der Körperoberfläche: Weniger als 10 % oder nicht näher bezeichneter Anteil von Verätzungen 3. Grades	T32.90	T32.9	2009402	Verätzungen von 90 % oder mehr der Körperoberfläche	(null)	(null)
Weichteilschaden III. Grades bei geschlossener Fraktur oder Luxation des Unterarmes	S51.86	S51.8	2008818	Offene Wunde sonstiger Teile des Unterarmes	(null)	(null)
Nekrotisierende Fasziitis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M72.67	M72.6	2005751	Nekrotisierende Fasziitis	(null)	(null)
Sonstige und nicht näher bezeichnete oberflächliche Verletzungen des Rachens: Schürfwunde	S10.11	S10.1	2008536	Sonstige und nicht näher bezeichnete oberflächliche Verletzungen des Rachens	(null)	(null)
Luxation von Halswirbeln: C3/C4	S13.13	S13.1	2008556	Luxation eines Halswirbels	(null)	(null)
Erworbene Afibrinogenämie	D65.0	D65	2001875	Disseminierte intravasale Gerinnung [Defibrinationssyndrom]	(null)	(null)
Traumatische Muskelischämie des Fußes	T79.63	T79.6	2009752	Traumatische Muskelischämie	(null)	(null)
Neuromyopathische Skoliose: Lumbosakralbereich	M41.47	M41.4	2005587	Neuromyopathische Skoliose	(null)	(null)
